what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.text.contentAssist.proposals,1226854063328
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.lineStart,1226854066296
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1226854067015
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1226854069442
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1226854070439
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1226854073750
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1226854096122
activated,view,com.android.ide.eclipse.ddms,0.8.0.v200809220836-110569,com.android.ide.eclipse.ddms.views.LogCatView,1226854096186
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1226854101124
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1226865081156
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1226865089550
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1226865095194
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1226865765291
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1226865766149
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1226865871168
activated,view,com.android.ide.eclipse.ddms,0.8.0.v200809220836-110569,com.android.ide.eclipse.ddms.views.LogCatView,1226865871234
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1226865880417
opened,view,com.android.ide.eclipse.ddms,0.8.0.v200809220836-110569,com.android.ide.eclipse.ddms.views.EmulatorControlView,1226865883134
activated,view,com.android.ide.eclipse.ddms,0.8.0.v200809220836-110569,com.android.ide.eclipse.ddms.views.EmulatorControlView,1226865883152
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.views.showView,1226865883154
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.views.showView,1226865883154
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1226865883172
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1226865890718
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1226865893821
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1226865895980
